timestamp,subscription_id,resource_group,region,service_type,units_used,provision_capacity,cost_use,availability,external_holiday,internal_maintenance,forecast
2024-06-05,sub-95656,rg-548,West Europe,cosmos db,569,816,34.77,95.55,0,0,594.06726
2022-11-05,sub-14832,rg-354,Southeast Asia,Virtual Machine,291,657,8.04,98.55,0,0,373.4401
2023-09-09,sub-30450,rg-223,West Europe,Functions,351,498,49.72,94.29,0,0,327.62766
2023-02-20,sub-45878,rg-894,WEST US,STORAGE ACCOUNT,819,923,41.94,96.43,0,0,710.56274
2023-01-21,sub-47447,rg-459,Central US,Cosmos DB,110,315,40.03,93.46,0,0,160.74573
2024-01-21,sub-10626,rg-247,Central US,SQL Database,761,893,14.5,91.06,0,0,634.67285
2023-01-05,sub-26337,rg-389,Southeast Asia,Cosmos DB,504,849,7.67,92.02,0,0,616.45087
2024-12-31,sub-99477,rg-423,West US,Cosmos DB,33,312,25.09,99.85,0,0,163.91608
2025-10-04,sub-14833,rg-937,Southeast Asia,Cosmos DB,231,637,1.34,99.24,0,0,338.4877
2023-04-04,sub-86327,rg-658,Central US,Cosmos DB,791,839,37.22,90.26,0,1,658.22705
2021-06-27,sub-17399,rg-190,West US,functions,624,725,37.36,99.1,1,0,398.4179
2022-07-15,sub-92420,rg-826,North Europe,SQL Database,591,972,4.08,91.4,0,0,670.1239
2024-06-18,sub-43329,rg-981,West US,Virtual Machine,351,580,44.0,93.11,0,0,331.042
2023-02-05,sub-68186,rg-648,West US,App Service,541,641,44.67,97.38,0,0,418.39233
2024-11-07,sub-48919,rg-404,Central US,Storage Account,649,806,35.21,95.5,1,0,567.5201
2021-05-27,sub-86807,rg-746,Southeast Asia,Storage Account,366,424,12.82,95.21,0,0,220.99953
2023-07-11,sub-60221,rg-549,Central US,Functions,81,85,3.67,91.95,0,0,65.19632
2023-07-09,sub-79492,rg-592,Southeast Asia,virtual machine,246,480,6.47,98.13,0,0,328.08853
2024-10-11,sub-29044,rg-957,West Europe,Functions,491,791,23.81,97.9,0,0,571.05646
2024-05-22,sub-22048,rg-697,Southeast Asia,SQL Database,321,691,45.87,96.5,0,0,425.90085
2024-07-01,sub-83588,rg-569,Southeast Asia,functions,716,896,48.6,90.72,0,0,659.9184
2023-06-30,sub-42713,rg-382,East US,Cosmos DB,606,1025,1.22,93.98,0,0,778.556
2023-04-03,sub-19782,rg-402,Central US,Storage Account,727,1170,12.46,98.1,0,0,858.1476
2023-11-21,sub-60028,rg-693,North Europe,Storage Account,26,515,18.93,99.1,0,0,234.08817
2023-08-14,sub-31448,rg-623,EAST US,Cosmos DB,263,593,14.8,96.81,0,0,338.46548
2023-02-21,sub-54424,rg-709,East US,SQL Database,627,1065,25.58,97.32,0,0,777.7719
2021-02-08,sub-14667,rg-493,Southeast Asia,Functions,78,229,44.0,94.06,0,0,110.49993
2023-02-23,sub-74721,rg-235,West US,Virtual Machine,561,613,33.43,98.21,0,0,398.16107
2023-05-13,sub-81707,rg-958,East US,Virtual Machine,116,409,14.08,93.18,0,0,214.3764
2024-10-09,sub-36923,rg-360,West US,Storage Account,432,633,30.53,97.78,0,0,403.05295
2023-03-17,sub-98637,rg-830,North Europe,Storage Account,717,1175,20.27,90.44,0,0,877.90137
2024-07-10,sub-53956,rg-184,Southeast Asia,Functions,106,417,36.0,99.65,0,0,228.24272
2025-05-01,sub-70249,rg-794,Central US,Functions,809,956,24.77,90.52,0,0,716.155
2023-10-07,sub-62490,rg-669,West US,SQL Database,728,865,23.25,96.63,1,0,612.16644
2024-08-09,sub-11515,rg-378,Central US,SQL Database,538,816,12.05,94.95,0,0,589.5609
2024-09-08,sub-77762,rg-439,EAST US,Cosmos DB,844,909,3.49,90.93,0,1,604.49927
2021-08-11,sub-74645,rg-437,Southeast Asia,Cosmos DB,284,704,11.79,95.82,0,0,496.9428
2023-10-05,sub-74440,rg-928,East US,Virtual Machine,502,919,15.45,95.39,0,0,657.96796
2021-05-19,sub-85345,rg-459,WEST US,Virtual Machine,184,311,30.67,93.22,0,0,140.16243
2022-09-23,sub-63612,rg-957,Southeast Asia,Cosmos DB,861,972,28.11,98.48,0,0,707.0807
2023-12-08,sub-58203,rg-204,southeast asia,Functions,966,1380,21.97,94.13,0,0,926.68036
2025-12-13,sub-61900,rg-798,Southeast Asia,APP SERVICE,963,1224,40.67,92.02,0,0,893.2411
2021-12-15,sub-73763,rg-286,Central US,Storage Account,928,1113,42.9,99.24,0,0,816.0814
2025-05-09,sub-80736,rg-212,Southeast Asia,Storage Account,527,899,15.62,95.67,0,1,582.19763
2024-07-03,sub-31803,rg-810,West Europe,Cosmos DB,967,1223,9.81,92.58,0,0,917.3007
2023-12-16,sub-31306,rg-527,west europe,Functions,262,713,6.46,93.31,0,0,402.3554
2021-12-10,sub-70828,rg-632,Central US,SQL Database,280,441,27.37,94.31,0,0,216.71512
2021-06-10,sub-66487,rg-596,East US,Cosmos DB,379,494,41.58,93.2,0,0,251.0155
2021-06-08,sub-85727,rg-653,Central US,Functions,364,370,43.86,90.93,0,0,232.4379
2023-12-24,sub-69807,rg-896,West Europe,Cosmos DB,570,585,7.63,93.79,0,0,367.63492
2024-12-19,sub-38914,rg-185,West Europe,App Service,462,823,19.66,98.73,0,0,585.2765
2025-12-13,sub-62597,rg-633,West Europe,Storage Account,419,719,9.01,94.26,0,0,473.36227
2023-05-20,sub-80456,rg-264,central us,Virtual Machine,518,786,30.52,90.19,1,0,553.5568
2023-05-16,sub-45106,rg-156,Southeast Asia,Cosmos DB,713,980,31.14,96.88,0,0,729.582
2023-07-25,sub-40296,rg-337,Southeast Asia,Storage Account,468,802,1.85,93.01,0,1,555.84344
2024-01-27,sub-21477,rg-592,East US,App Service,833,890,44.19,92.06,0,0,651.7605
2023-08-11,sub-79144,rg-423,SOUTHEAST ASIA,App Service,709,1012,8.54,93.98,0,1,759.14526
2022-10-18,sub-53986,rg-648,West US,storage account,350,503,21.1,97.23,0,0,276.76443
2025-08-13,sub-71425,rg-331,East US,Cosmos DB,488,543,26.76,98.45,0,0,286.80365
2022-03-12,sub-56750,rg-305,southeast asia,Functions,341,527,49.52,92.36,0,0,352.80176
2023-11-21,sub-98175,rg-386,Southeast Asia,Storage Account,888,1102,4.7,93.42,0,0,774.96045
2023-11-15,sub-50026,rg-819,Southeast Asia,Cosmos DB,365,645,32.4,93.88,0,0,452.8482
2023-02-26,sub-85110,rg-363,Central US,app service,735,870,35.06,96.32,0,0,637.4144
2025-05-22,sub-94067,rg-323,WEST US,app service,409,453,1.3,95.15,0,0,256.66248
2022-05-08,sub-21442,rg-485,WEST EUROPE,Storage Account,954,1050,16.91,91.13,0,0,815.5725
2021-08-23,sub-95870,rg-507,East US,COSMOS DB,21,183,4.31,96.88,0,0,64.78859
2022-10-18,sub-79770,rg-353,West Europe,Storage Account,818,949,24.28,99.25,0,0,660.769
2022-11-04,sub-62974,rg-462,WEST EUROPE,Functions,717,781,29.31,99.95,0,0,575.80164
2022-01-24,sub-87609,rg-713,West Europe,Functions,493,813,17.95,90.01,1,0,562.04474
2022-06-21,sub-21969,rg-116,West Europe,Virtual Machine,572,818,7.45,99.32,0,0,524.02466
2025-06-07,sub-82825,rg-970,north europe,functions,681,1013,36.2,91.89,0,0,781.4419
2023-06-05,sub-18400,rg-604,West Europe,Cosmos DB,893,1385,35.02,94.83,0,0,916.2832
2024-01-22,sub-34938,rg-822,West Europe,Storage Account,949,1044,40.82,94.08,0,0,858.2493
2025-03-04,sub-33721,rg-126,Central US,Functions,5,341,35.28,96.53,0,0,78.922356
2023-08-05,sub-97556,rg-342,Southeast Asia,App Service,51,282,6.07,95.18,0,0,149.80045
2021-04-09,sub-98659,rg-772,West Europe,Functions,567,994,46.88,90.07,0,0,760.8492
2025-11-07,sub-75429,rg-487,West US,STORAGE ACCOUNT,848,926,21.3,97.39,0,0,703.5827
2021-12-04,sub-47328,rg-775,West US,App Service,309,767,32.29,90.35,0,0,509.26407
2024-01-06,sub-56416,rg-963,East US,SQL DATABASE,7,54,40.15,92.18,0,0,52.316418
2021-05-28,sub-29524,rg-503,west us,SQL Database,902,1275,18.9,91.34,0,0,882.7985
2023-12-19,sub-82815,rg-985,WEST EUROPE,Functions,954,1305,34.21,95.86,0,0,913.00916
2024-02-11,sub-14404,rg-199,East US,functions,106,198,24.61,92.69,0,0,81.10311
2025-01-11,sub-95909,rg-201,East US,Cosmos DB,503,654,35.07,98.34,0,0,450.122
2022-07-05,sub-41770,rg-416,north europe,VIRTUAL MACHINE,636,989,19.53,98.97,0,0,702.23615
2023-10-25,sub-43770,rg-188,Southeast Asia,Virtual Machine,752,1198,32.26,93.22,0,0,869.5288
2023-05-11,sub-60524,rg-154,Southeast Asia,Virtual Machine,836,966,45.15,98.54,0,0,709.48
2024-08-17,sub-41864,rg-772,west us,FUNCTIONS,933,1413,47.23,96.45,0,0,935.92957
2022-06-08,sub-27594,rg-883,West US,app service,677,1108,14.33,99.26,0,0,780.39636
2024-11-08,sub-46203,rg-578,North Europe,Storage Account,631,874,6.36,97.93,0,0,615.8995
2021-04-19,sub-19992,rg-104,east us,COSMOS DB,765,893,5.95,93.63,0,0,649.83624
2024-08-04,sub-77968,rg-501,North Europe,SQL Database,136,146,49.89,98.23,0,0,156.44716
2021-03-14,sub-34910,rg-725,North Europe,VIRTUAL MACHINE,586,903,48.97,95.33,0,0,666.65906
2022-01-19,sub-57424,rg-567,Southeast Asia,functions,592,741,16.89,94.47,0,0,457.21298
2024-10-08,sub-66860,rg-473,East US,Functions,5,385,45.83,90.46,0,0,178.10933
2022-11-03,sub-80716,rg-493,Southeast Asia,Virtual Machine,853,995,39.04,94.16,1,1,729.582
2022-03-20,sub-16537,rg-702,Southeast Asia,App Service,550,685,35.44,99.14,0,0,528.18384
2024-07-13,sub-76991,rg-167,Southeast Asia,Cosmos DB,497,699,42.62,99.35,0,0,444.48358
2021-01-09,sub-64007,rg-916,East US,Storage Account,45,330,2.98,98.92,0,0,98.472374
2023-03-17,sub-10339,rg-578,Central US,App Service,479,785,43.63,98.61,0,0,536.7975
2021-06-26,sub-22295,rg-825,East US,App Service,778,1246,31.27,90.71,0,1,850.2088
2025-06-26,sub-82571,rg-980,West Europe,SQL Database,661,919,45.26,97.58,0,0,685.61523
2023-10-31,sub-83210,rg-506,SOUTHEAST ASIA,Virtual Machine,372,556,11.15,97.76,0,0,293.82944
2023-03-02,sub-28125,rg-293,North Europe,App Service,108,440,22.75,93.8,0,0,223.21913
2021-05-02,sub-73175,rg-822,EAST US,App Service,142,187,28.98,92.46,0,0,99.37014
2023-01-09,sub-61009,rg-598,Southeast Asia,Functions,680,693,11.94,90.43,0,0,572.7328
2025-07-02,sub-17226,rg-408,West US,App Service,481,972,47.24,98.6,0,0,675.0002
2021-01-01,sub-95574,rg-982,North Europe,functions,695,817,12.39,91.29,0,0,622.9179
2021-10-23,sub-42013,rg-615,West US,Virtual Machine,47,208,18.87,90.31,0,0,80.49267
2023-08-04,sub-81136,rg-255,North Europe,App Service,613,901,47.31,93.36,0,0,666.65906
2025-08-28,sub-67160,rg-832,West US,Virtual Machine,83,131,37.84,97.4,0,0,69.77816
2021-09-04,sub-65206,rg-425,West Europe,STORAGE ACCOUNT,247,256,9.73,91.24,0,0,162.87318
2022-08-01,sub-72407,rg-482,Central US,VIRTUAL MACHINE,465,622,29.51,94.01,0,0,376.1137
2021-08-04,sub-94361,rg-440,East US,SQL Database,462,550,42.2,95.91,0,0,289.20294
2024-05-14,sub-32803,rg-162,east us,Storage Account,750,759,3.34,93.58,0,0,502.7019
2021-12-30,sub-86915,rg-766,West Europe,APP SERVICE,346,782,3.69,93.7,0,0,565.8654
2021-05-07,sub-13875,rg-353,East US,App Service,149,619,38.5,90.23,0,0,351.95288
2025-05-31,sub-32369,rg-428,Southeast Asia,Storage Account,500,594,16.57,98.82,0,0,390.12912
2025-08-15,sub-93338,rg-685,East US,Virtual Machine,827,1270,19.27,99.06,0,1,871.1833
2022-11-16,sub-96309,rg-338,NORTH EUROPE,App Service,862,1228,27.04,94.71,0,0,869.5288
2021-07-15,sub-77971,rg-607,East US,Storage Account,822,960,1.6,97.28,0,0,725.20447
2025-03-14,sub-49277,rg-632,NORTH EUROPE,SQL Database,752,1096,8.77,97.83,0,0,765.12384
2023-03-26,sub-73855,rg-582,East US,Cosmos DB,779,1228,36.21,98.5,1,0,867.73535
2025-04-10,sub-46285,rg-438,West Europe,SQL Database,348,627,24.31,93.96,0,0,385.47366
2023-10-23,sub-51634,rg-811,North Europe,Cosmos DB,919,969,6.21,98.95,0,0,806.3151
2023-01-31,sub-11838,rg-756,West US,Storage Account,617,1092,7.1,91.58,0,0,782.13074
2021-12-28,sub-63061,rg-368,North Europe,Cosmos DB,475,838,22.17,95.02,0,0,585.2765
2022-05-22,sub-62331,rg-895,West US,SQL Database,604,1089,27.51,99.8,0,0,730.87823
2025-02-18,sub-52931,rg-920,East US,SQL Database,946,1441,39.49,97.91,0,0,932.01404
2023-08-07,sub-86349,rg-894,NORTH EUROPE,APP SERVICE,921,1017,36.95,90.67,0,0,854.2403
2023-07-15,sub-86204,rg-207,West Europe,Cosmos DB,537,883,4.96,96.94,0,0,617.8779
2022-11-11,sub-23089,rg-932,Southeast Asia,App Service,116,192,44.81,94.82,0,0,91.23641
2022-01-01,sub-57732,rg-980,West Europe,Functions,223,271,49.71,92.63,0,0,191.7794
2023-11-08,sub-92096,rg-817,Southeast Asia,functions,236,455,27.58,94.08,0,0,208.35745
2025-06-24,sub-34056,rg-945,West Europe,Functions,810,997,24.55,94.94,1,0,770.00836
2022-06-06,sub-62056,rg-520,West US,SQL Database,955,1387,42.73,91.64,0,0,942.6301
2025-04-14,sub-56166,rg-905,east us,functions,638,907,9.43,95.18,0,0,643.2962
2023-10-15,sub-44548,rg-622,West US,Cosmos DB,266,604,38.46,90.58,0,0,335.19138
2025-03-05,sub-39691,rg-315,Central US,SQL Database,395,647,15.64,97.66,0,0,429.34152
2021-04-19,sub-16486,rg-982,West US,SQL Database,86,493,22.59,99.36,0,0,227.58415
2025-07-28,sub-79141,rg-581,West US,Functions,17,305,7.22,90.76,0,0,131.5061
2025-08-08,sub-77555,rg-639,West Europe,SQL Database,481,569,46.39,95.79,0,0,439.53534
2023-07-28,sub-36679,rg-439,West US,Virtual Machine,289,620,24.78,93.27,0,0,376.1137
2021-12-31,sub-32327,rg-764,CENTRAL US,Cosmos DB,71,482,30.21,93.0,0,0,219.92397
2025-07-21,sub-34345,rg-806,East US,Functions,545,709,23.51,91.04,0,0,505.9154
2023-12-25,sub-99625,rg-440,Southeast Asia,App Service,145,226,12.34,99.28,0,0,114.44235
2025-07-10,sub-84364,rg-763,Central US,Functions,360,691,24.53,99.2,0,0,420.98038
2024-11-06,sub-15578,rg-255,West US,Storage Account,423,533,11.63,90.56,0,0,286.14792
2024-12-23,sub-92412,rg-194,Southeast Asia,App Service,992,1284,44.85,94.83,0,0,901.98254
2022-04-16,sub-29245,rg-418,EAST US,Virtual Machine,9,220,1.94,95.73,0,0,76.97963
2021-09-02,sub-13420,rg-608,central us,Virtual Machine,14,19,5.63,92.39,0,0,51.390873
2021-06-27,sub-20855,rg-263,North Europe,Functions,813,1168,47.67,91.62,1,0,865.7287
2024-06-03,sub-14837,rg-450,Central US,App Service,63,376,32.25,92.88,1,0,150.19142
2022-05-15,sub-26829,rg-746,WEST EUROPE,App Service,382,396,21.25,95.66,0,1,196.24959
2022-02-13,sub-12998,rg-452,West Europe,SQL Database,675,992,16.73,92.69,0,0,752.43066
2024-09-04,sub-47433,rg-838,East US,SQL Database,804,1250,40.79,93.03,0,0,825.49316
2025-02-17,sub-82311,rg-873,West Europe,App Service,866,1339,14.4,97.43,0,0,919.0023
2023-01-26,sub-74894,rg-229,Central US,SQL Database,569,673,10.79,90.48,1,0,500.21878
2023-12-03,sub-32971,rg-112,West US,SQL Database,195,305,4.12,95.79,0,0,142.6302
2023-02-02,sub-98651,rg-342,West Europe,Storage Account,242,446,6.1,92.22,0,0,232.22482
2021-10-30,sub-57024,rg-581,Central US,Virtual Machine,533,990,28.49,96.37,1,0,693.7539
2023-04-15,sub-28557,rg-808,west europe,SQL Database,482,777,5.8,94.61,0,1,460.3217
2025-05-09,sub-54032,rg-499,West Europe,Cosmos DB,165,211,44.13,91.35,0,0,102.102806
2025-01-17,sub-38795,rg-120,West US,Functions,666,852,23.91,95.21,1,0,628.8674
2022-05-22,sub-70323,rg-556,Southeast Asia,SQL Database,721,870,13.28,97.16,0,0,616.45087
2021-03-21,sub-46365,rg-687,East US,Virtual Machine,907,1130,27.8,98.69,0,0,781.6592
2025-03-11,sub-65665,rg-629,Southeast Asia,Storage Account,458,780,27.97,94.18,0,0,530.9084
2021-06-23,sub-45292,rg-568,Southeast Asia,SQL DATABASE,609,655,37.72,97.65,0,0,472.49722
2023-04-16,sub-76365,rg-543,North Europe,App Service,253,407,47.24,99.47,0,0,226.18275
2025-10-05,sub-97724,rg-998,West US,SQL Database,638,898,4.51,96.23,0,0,636.1259
2024-12-11,sub-95003,rg-343,WEST EUROPE,FUNCTIONS,545,808,49.44,98.75,0,0,532.33453
2023-07-21,sub-22324,rg-770,West Europe,SQL Database,474,710,17.22,93.99,0,0,442.42102
2021-11-13,sub-52610,rg-178,West US,App Service,334,747,38.5,94.87,0,1,471.53082
2023-11-14,sub-83822,rg-686,North Europe,Virtual Machine,239,491,16.19,90.67,0,0,264.16718
2024-10-10,sub-93185,rg-883,West US,Cosmos DB,858,913,21.46,98.7,0,0,608.27856
2021-08-05,sub-70816,rg-101,Southeast Asia,Storage Account,533,837,3.93,98.98,0,0,593.3818
2023-07-03,sub-87034,rg-262,West Europe,VIRTUAL MACHINE,751,1134,13.97,94.36,0,0,821.363
2024-09-08,sub-68389,rg-534,WEST EUROPE,STORAGE ACCOUNT,454,903,39.04,94.95,0,0,611.03394
2021-08-31,sub-26537,rg-452,NORTH EUROPE,Storage Account,590,610,29.99,91.0,0,0,441.97696
2024-02-11,sub-86545,rg-320,central us,Functions,520,1010,44.17,97.77,0,0,664.5782
2022-10-20,sub-28422,rg-978,West US,App Service,622,848,11.65,96.59,0,0,616.45087
